italian,dante
"Se tu sei signore della città sul cui nome ci fu una grande lite fra gli dei, e dalla quale deriva ogni scienza, vendicati di quelle braccia ardite che abbracciarono nostra figlia, o pisistrato","Se tu se’ sire de la villa del cui nome ne’ dèi fu tanta lite, e onde ogni scienza disfavilla, vendica te di quelle braccia ardite ch’abbracciar nostra figlia, o pisistràto"
"E mi sembrava che il signore, benevolo e mite, le rispondesse con viso equilibrato:","E ‘l segnor mi parea, benigno e mite, risponder lei con viso temperato:"
"Che faremo a chi ci vuol male, se condanniamo coloro che ci amano","Che farem noi a chi mal ne disira, se quei che ci ama è per noi condannato"
"Poi vidi persone accese dal fuoco dell'ira, che uccidevano un giovane lapidandolo, gridando forte l'uno all'altro:","Poi vidi genti accese in foco d’ira con pietre un giovinetto ancider, forte gridando a sé pur:"
"Uccidi, uccidi","Martira, martira"
"Vedevo lui che si chinava a terra ormai quasi morente, ma rivolgeva gli occhi verso il cielo e pregava il signore, nonostante tanta violenza, di perdonare i suoi persecutori, con quell'aspetto che genera pietà","E lui vedea chinarsi, per la morte che l’aggravava già, inver’ la terra, ma de li occhi facea sempre al ciel porte, orando a l’alto sire, in tanta guerra, che perdonasse a’ suoi persecutori, con quello aspetto che pietà diserra"
"Quando la mia anima tornò in sé e percepì le cose reali all'esterno, io riconobbi di aver avuto visioni dal contenuto veritiero","Quando l’anima mia tornò di fori a le cose che son fuor di lei vere, io riconobbi i miei non falsi errori"
"Il mio maestro, che mi vedeva simile a un uomo che esce poco alla volta dal sonno, disse:","Lo duca mio, che mi potea vedere far sì com’om che dal sonno si slega, disse:"
"Che cos'hai, che non ti reggi in piedi e hai camminato per più di mezza lega con gli occhi velati e le gambe impacciate, come qualcuno gravato dal vino o dal sonno","Che hai che non ti puoi tenere, ma se’ venuto più che mezza lega velando li occhi e con le gambe avvolte, a guisa di cui vino o sonno piega"
Io dissi:,Diss’io:
"O dolce padre mio, se mi ascolti io ti dirò ciò che mi è apparso quando le gambe non mi reggevano","O dolce padre mio, se tu m’ascolte, io ti dirò ciò che m’apparve quando le gambe mi furon sì tolte"
E lui:,Ed ei:
"Se tu avessi cento maschere sopra il volto, i tuoi pensieri, per quanto minimi, non mi sarebbero nascosti","Se tu avessi cento larve sovra la faccia, non mi sarian chiuse le tue cogitazion, quantunque parve"
"Ciò che hai visto voleva indurti a non rifiutare di aprire il cuore alle acque della pace, che sono versate dalla fonte eterna",Ciò che vedesti fu perché non scuse d’aprir lo core a l’acque de la pace che da l’etterno fonte son diffuse
"Non ti chiesi cosa avessi come fa quello che guarda con l'occhio corporeo che non vede, quando il corpo giace esanime","Non dimandai che hai per quel che face chi guarda pur con l’occhio che non vede, quando disanimato il corpo giace"
"Ma te lo chiesi per accelerare il tuo passo: così bisogna pungolare i pigri, lenti a muoversi quando tornano svegli","Ma dimandai per darti forza al piede: così frugar conviensi i pigri, lenti ad usar lor vigilia quando riede"
"Noi camminavamo nel vespro, fissando gli occhi davanti a noi per quanto ce lo consentivano i raggi del sole, bassi e luminosi","Noi andavam per lo vespero, attenti oltre quanto potean li occhi allungarsi contra i raggi seròtini e lucenti"
"Ed ecco poco a poco avanzare verso di noi un fumo, oscuro come la notte",Ed ecco a poco a poco un fummo farsi verso di noi come la notte oscuro
Dal quale non era possibile scansarsi,Né da quello era loco da cansarsi
Questo ci accecò e ci tolse l'aria pura,Questo ne tolse li occhi e l’aere puro
"Il buio dell'inferno, o di una notte priva di qualunque stella, sotto un cielo oscuro quanto può esserlo quello di una notte coperta da nubi, non velò la mia vista come quel fumo che lì ci avvolse, né mi irritò gli occhi al punto da non poterli tenere aperti","Buio d’inferno e di notte privata d’ogne pianeto, sotto pover cielo, quant’esser può di nuvol tenebrata, non fece al viso mio sì grosso velo come quel fummo ch’ivi ci coperse, né a sentir di così aspro pelo, che l’occhio stare aperto non sofferse"
Allora la mia saggia guida mi si avvicinò e mi offrì il suo braccio,Onde la scorta mia saputa e fida mi s’accostò e l’omero m’offerse
"Come il cieco segue la sua guida per non perdersi e non urtare qualcosa che gli faccia del male o forse lo uccida, così io procedevo in quell'aria amara e oscura, ascoltando il mio maestro che mi diceva di continuo:","Sì come cieco va dietro a sua guida per non smarrirsi e per non dar di cozzo in cosa che ‘l molesti, o forse ancida, m’andava io per l’aere amaro e sozzo, ascoltando il mio duca che diceva pur:"
Fa' in modo di non separarti da me,Guarda che da me tu non sia mozzo
"Io udivo delle voci, e ognuna sembrava pregare per la pace e la misericordia l'agnello di dio, che toglie i peccati dal mondo","Io sentia voci, e ciascuna pareva pregar per pace e per misericordia l’agnel di dio che le peccata leva"
Le parole iniziali erano sempre 'agnus dei',Pur 'agnus dei' eran le loro essordia
Tutti dicevano la stessa cosa e in modo tale che sembrava esserci una totale concordia,"Una parola in tutte era e un modo, sì che parea tra esse ogne concordia"
Io dissi:,Diss’io:
"Maestro, sono degli spiriti quelli che sento","Quei sono spirti, maestro, ch’i’ odo"
E lui a me:,Ed elli a me:
"Dici il vero, ed essi scontano la pena per la loro iracondia","Tu vero apprendi, e d’iracundia van solvendo il nodo"
"E tu chi sei, che attraversi il fumo della nostra cornice e parli di noi come se tu dividessi ancora il tempo","Or tu chi se’ che ‘l nostro fummo fendi, e di noi parli pur come se tue partissi ancor lo tempo per calendi"
Così fu detto da una voce,Così per una voce detto fue
Allora il mio maestro disse:,Onde ‘l maestro mio disse:
"Rispondi, e chiedi se da questa parte si sale","Rispondi, e domanda se quinci si va sùe"
E io:,E io:
"O anima che ti purifichi, per tornare bella a colui che ti creò, se mi segui sentirai qualcosa di straordinario","O creatura che ti mondi per tornar bella a colui che ti fece, maraviglia udirai, se mi secondi"
Rispose:,Rispuose:
Io ti seguirò finché mi sarà permesso,Io ti seguiterò quanto mi lece
"E se il fumo non ci permette di vederci, il suono delle parole ci terrà uniti","E se veder fummo non lascia, l’udir ci terrà giunti in quella vece"
Allora iniziai:,Allora incominciai:
"Me ne vado in alto con quell'involucro che la morte dissolve, e sono venuto qui attraverso l'inferno","Con quella fascia che la morte dissolve men vo suso, e venni qui per l’infernale ambascia"
"E se dio mi ha accolto nella sua grazia, al punto che vuol mostrarmi il suo regno in un modo del tutto diverso dall'uso moderno, non nascondermi il tuo nome prima della tua morte, ma dimmelo, e dimmi se vado nella giusta direzione verso l'accesso alla cornice seguente","E se dio m’ha in sua grazia rinchiuso, tanto che vuol ch’i’ veggia la sua corte per modo tutto fuor del moderno uso, non mi celar chi fosti anzi la morte, ma dilmi, e dimmi s’i’ vo bene al varco"
E le tue parole saranno la nostra guida,E tue parole fier le nostre scorte
"Io fui lombardo, e il mio nome era marco","Lombardo fui, e fu’ chiamato marco"
Conobbi il mondo e amai quella virtù cortese alla quale oggi ciascuno ha disteso l'arco,"Del mondo seppi, e quel valore amai al quale ha or ciascun disteso l’arco"
"Per salire su, vai nella giusta direzione",Per montar sù dirittamente vai
"Così rispose, e aggiunse:","Così rispuose, e soggiunse:"
"Io ti prego di pregare per me, quando sarai in paradiso",I’ ti prego che per me prieghi quando sù sarai
E io a lui:,E io a lui:
Io ti prometto che farò ciò che mi chiedi,Per fede mi ti lego di far ciò che mi chiedi
Ma io scoppio se non riesco a liberarmi di un dubbio che mi assilla,"Ma io scoppio dentro ad un dubbio, s’io non me ne spiego"
"Prima era un dubbio semplice, mentre ora è raddoppiato a causa delle tue parole, che mi confermano, qui e altrove, ciò che ho già udito","Prima era scempio, e ora è fatto doppio ne la sentenza tua, che mi fa certo qui, e altrove, quello ov’io l’accoppio"
"Il mondo è del tutto privo di ogni virtù cortese, come tu mi dici, e pieno di ogni malizia","Lo mondo è ben così tutto diserto d’ogne virtute, come tu mi sone, e di malizia gravido e coverto"
"Ma ti prego di indicarmene la causa, così che io la comprenda e la mostri agli altri","Ma priego che m’addite la cagione, sì ch’i’ la veggia e ch’i’ la mostri altrui"
"Infatti alcuni la pongono nelle influenze celesti, altri nei comportamenti umani","Ché nel cielo uno, e un qua giù la pone"
Poi iniziò:,E poi cominciò:
"Fratello, il mondo è cieco e tu dimostri di venire da lì","Frate, lo mondo è cieco, e tu vien ben da lui"
"Voi che siete in vita riconducete la causa di tutto al cielo, come se esso determinasse ogni cosa necessariamente","Voi che vivete ogne cagion recate pur suso al cielo, pur come se tutto movesse seco di necessitate"
"Se fosse così, in voi non ci sarebbe più il libero arbitrio, e non sarebbe giusto essere premiati per la virtù, ed essere puniti per la colpa","Se così fosse, in voi fora distrutto libero arbitrio, e non fora giustizia per ben letizia, e per male aver lutto"
"Il cielo inizia i vostri movimenti, e neppure tutti",Lo cielo i vostri movimenti inizia
"Ma anche ammettendo ciò, voi siete in grado di distinguere il bene dal male, e avete il libero arbitrio","Non dico tutti, ma, posto ch’i’ ‘l dica, lume v’è dato a bene e a malizia, e libero voler"
"Il quale, se anche incontra difficoltà nelle prime battaglie con gli influssi astrali, poi vince ogni cosa, purché venga ben nutrito","Che, se fatica ne le prime battaglie col ciel dura, poi vince tutto, se ben si notrica"
"Voi siete soggetti, liberi, a una forza maggiore e a una natura migliore",A maggior forza e a miglior natura liberi soggiacete
"E quella crea in voi l'intelletto, che il cielo non ha in suo potere","E quella cria la mente in voi, che ‘l ciel non ha in sua cura"
"Perciò, se il mondo attuale pecca, la ragione è in voi e a voi deve essere attribuita","Però, se ’l mondo presente disvia, in voi è la cagione, in voi si cheggia"
E io ora te ne darò una dimostrazione,E io te ne sarò or vera spia
"L'anima semplice, che non sa nulla, esce dalle mani di colui che la ama, prima di essere formata, come una fanciulla, che piange e ride senza saperne il motivo, salvo che, mossa da un lieto creatore, torna volentieri a ciò che le dà piacere","Esce di mano a lui che la vagheggia prima che sia, a guisa di fanciulla che piangendo e ridendo pargoleggia, l’anima semplicetta che sa nulla, salvo che, mossa da lieto fattore, volontier torna a ciò che la trastulla"
Dapprima sente il sapore dei beni di scarso rilievo,Di picciol bene in pria sente sapore
"Qui s'inganna e corre dietro ad essi, a meno che una guida o un freno non distolga il suo amore mal riposto","Quivi s’inganna, e dietro ad esso corre, se guida o fren non torce suo amore"
Per questo fu necessario porre dei freni con le leggi,Onde convenne legge per fren porre
Fu necessario avere un re che distinguesse almeno la torre della vera città,Convenne rege aver che discernesse de la vera cittade almen la torre
"Le leggi ci sono, ma chi le fa rispettare","Le leggi son, ma chi pon mano ad esse"
"Nessuno, dal momento che il pastore che guida il gregge può ruminare, ma non ha le unghie fesse","Nullo, però che ’l pastor che procede, rugumar può, ma non ha l’unghie fesse"
"Quindi la gente, che vede la sua guida ricercare quei beni terreni di cui essa è ghiotta, si nutre di quelli e non chiede nient'altro","Per che la gente, che sua guida vede pur a quel ben fedire ond’ella è ghiotta, di quel si pasce, e più oltre non chiede"
"Puoi capire bene che la cattiva guida dei pontefici è la ragione che ha corrotto il mondo, non certo la vostra natura influenzata dai cieli","Ben puoi veder che la mala condotta è la cagion che ’l mondo ha fatto reo, e non natura che ’n voi sia corrotta"
"Roma, che costruì il mondo virtuoso, era solita avere due soli, che indicavano entrambe le strade, del mondo e di dio","Soleva roma, che ’l buon mondo feo, due soli aver, che l’una e l’altra strada facean vedere, e del mondo e di deo"
L'uno ha spento l'altro,L’un l’altro ha spento
"E la spada si è unita al pastorale, ed è inevitabile che le due cose stiano male insieme, unite in modo forzato","Ed è giunta la spada col pasturale, e l’un con l’altro insieme per viva forza mal convien che vada"
"Infatti, uniti, l'un potere non teme l'altro: se non mi credi, pensa alla spiga, poiché ogni pianta si riconosce dal suo seme","Però che, giunti, l’un l’altro non teme: se non mi credi, pon mente a la spiga, ch’ogn’erba si conosce per lo seme"
